Data;Descrição;Cor;Quantidade;Valor;Situação;Cliente_ID;Região;Canal_Venda;Desconto;Campanha_Marketing;Categoria_Produto;Valor_Final;Ticket_Medio
2025-01-02;Alicate;Verde;7;7.00;Pago;1035;Norte;Loja Física;15;Campanha A;Ferramenta;41.65;232.19
2025-01-02;Marreta;Amarelo;1;77.00;Pago;1044;Leste;Loja Física;0;Nenhuma;Ferramenta;77.00;218.94
2025-01-02;Marreta;Verde;7;25.00;Não pago;1035;Centro-Oeste;Loja Física;0;Campanha B;Ferramenta;175.00;232.19
2025-01-02;Lanterna;Verde;5;23.00;Não pago;1033;Centro-Oeste;Loja Física;15;Campanha A;Eletrônico;97.75;218.25
2025-01-02;Martelo;Amarelo;9;51.00;Pago;1008;Leste;Online;5;Campanha B;Ferramenta;436.05;243.07
2025-01-02;Cola;Amarelo;2;47.00;Não pago;1075;Sul;Loja Física;5;Campanha B;Material;89.30;240.01
2025-01-02;Cola;Amarelo;1;97.00;Pago;1083;Leste;Loja Física;5;Campanha B;Material;92.15;248.57
2025-01-02;Lanterna;Amarelo;9;5.00;Não pago;1003;Centro-Oeste;Online;10;Campanha A;Eletrônico;40.50;228.96
2025-01-02;Parafuso;Amarelo;8;96.00;Pago;1078;Norte;Online;0;Campanha A;Material;768.00;242.70
2025-01-02;Parafuso;Verde;6;94.00;Pago;1062;Sul;Loja Física;15;Campanha A;Material;479.40;254.36
2025-01-02;Lanterna;Vermelho;5;95.00;Não pago;1003;Leste;Online;10;Nenhuma;Eletrônico;427.50;228.96
2025-01-02;Parafuso;Vermelho;8;13.00;Não pago;1004;Centro-Oeste;Online;0;Nenhuma;Material;104.00;242.55
2025-01-02;Marreta;Azul;8;42.00;Pago;1009;Norte;Online;15;Campanha A;Ferramenta;285.60;246.80
2025-01-02;Cola;Vermelho;5;5.00;Não pago;1043;Centro-Oeste;Online;0;Nenhuma;Material;25.00;244.02
2025-01-02;Lanterna;Vermelho;7;23.00;Não pago;1039;Sul;Online;5;Campanha B;Eletrônico;152.95;198.61
2025-01-02;Cola;Verde;1;62.00;Não pago;1035;Oeste;Loja Física;10;Campanha B;Material;55.80;232.19
2025-01-02;Alicate;Amarelo;4;1.00;Pago;1034;Leste;Online;15;Campanha B;Ferramenta;3.40;233.87
2025-01-02;Marreta;Amarelo;2;74.00;Não pago;1058;Norte;Online;0;Nenhuma;Ferramenta;148.00;254.17
2025-01-02;Fita;Verde;3;91.00;Não pago;1064;Sul;Online;15;Campanha A;Material;232.05;247.13
2025-01-02;Marreta;Vermelho;1;54.00;Não pago;1081;Sul;Online;15;Nenhuma;Ferramenta;45.90;234.18
2025-01-02;Lanterna;Verde;2;72.00;Não pago;1030;Oeste;Loja Física;15;Nenhuma;Eletrônico;122.40;209.09
2025-01-02;Fita;Azul;1;3.00;Pago;1045;Oeste;Online;5;Campanha A;Material;2.85;230.76
2025-01-02;Alicate;Amarelo;8;83.00;Não pago;1048;Leste;Loja Física;15;Campanha B;Ferramenta;564.40;241.48
2025-01-03;Lanterna;Preto;4;64.00;Pago;1005;Leste;Online;10;Campanha A;Eletrônico;230.40;223.89
2025-01-03;Martelo;Azul;3;51.00;Pago;1069;Sul;Loja Física;10;Campanha B;Ferramenta;137.70;201.87
2025-01-03;Cola;Azul;1;2.00;Não pago;1018;Leste;Online;0;Campanha A;Material;2.00;244.38
2025-01-03;Alicate;Verde;2;49.00;Não pago;1095;Leste;Online;0;Nenhuma;Ferramenta;98.00;237.81
2025-01-03;Cola;Vermelho;3;31.00;Pago;1041;Oeste;Loja Física;15;Campanha A;Material;79.05;252.82
2025-01-03;Parafuso;Amarelo;3;74.00;Não pago;1029;Sul;Online;5;Campanha A;Material;210.90;241.29
2025-01-03;Martelo;Preto;6;80.00;Não pago;1025;Centro-Oeste;Loja Física;10;Campanha B;Ferramenta;432.00;231.28
2025-01-03;Martelo;Azul;8;84.00;Pago;1002;Centro-Oeste;Online;15;Campanha A;Ferramenta;571.20;277.32
2025-01-03;Alicate;Preto;6;3.00;Não pago;1032;Norte;Loja Física;10;Campanha A;Ferramenta;16.20;240.44
2025-01-03;Martelo;Vermelho;2;35.00;Não pago;1049;Oeste;Loja Física;0;Campanha A;Ferramenta;70.00;215.84
2025-01-03;Fita;Vermelho;2;98.00;Não pago;1030;Norte;Online;5;Campanha A;Material;186.20;209.09
2025-01-03;Martelo;Preto;7;85.00;Pago;1083;Sul;Loja Física;10;Nenhuma;Ferramenta;535.50;248.57
2025-01-03;Cola;Amarelo;1;36.00;Não pago;1067;Centro-Oeste;Online;0;Campanha A;Material;36.00;238.80
2025-01-03;Cola;Vermelho;1;64.00;Pago;1095;Centro-Oeste;Loja Física;10;Campanha A;Material;57.60;237.81
2025-01-03;Lanterna;Preto;7;32.00;Pago;1081;Centro-Oeste;Online;15;Campanha B;Eletrônico;190.40;234.18
2025-01-03;Cola;Azul;9;18.00;Pago;1009;Norte;Loja Física;10;Campanha A;Material;145.80;246.80
2025-01-03;Lanterna;Preto;5;34.00;Não pago;1021;Leste;Loja Física;10;Nenhuma;Eletrônico;153.00;226.62
2025-01-03;Cola;Preto;1;56.00;Não pago;1062;Norte;Online;15;Campanha B;Material;47.60;254.36
2025-01-03;Fita;Verde;5;67.00;Pago;1053;Centro-Oeste;Loja Física;5;Campanha B;Material;318.25;202.24
2025-01-03;Lanterna;Vermelho;1;53.00;Pago;1050;Oeste;Online;5;Campanha A;Eletrônico;50.35;233.85
2025-01-03;Marreta;Amarelo;9;67.00;Não pago;1080;Oeste;Online;15;Campanha B;Ferramenta;512.55;217.39
2025-01-03;Parafuso;Amarelo;4;91.00;Não pago;1003;Norte;Online;5;Campanha B;Material;345.80;228.96
2025-01-03;Alicate;Verde;9;66.00;Pago;1036;Norte;Online;5;Campanha A;Ferramenta;564.30;249.16
2025-01-03;Cola;Amarelo;2;64.00;Não pago;1070;Sul;Online;15;Nenhuma;Material;108.80;231.15
2025-01-03;Martelo;Preto;7;67.00;Pago;1062;Norte;Online;10;Nenhuma;Ferramenta;422.10;254.36
2025-01-03;Cola;Verde;2;81.00;Pago;1050;Norte;Online;5;Campanha A;Material;153.90;233.85
2025-01-03;Martelo;Azul;4;39.00;Não pago;1007;Centro-Oeste;Online;0;Campanha B;Ferramenta;156.00;236.13
2025-01-03;Parafuso;Vermelho;6;38.00;Não pago;1000;Leste;Online;0;Campanha A;Material;228.00;235.80
2025-01-04;Parafuso;Vermelho;2;40.00;Não pago;1007;Centro-Oeste;Online;15;Campanha A;Material;68.00;236.13
2025-01-04;Parafuso;Vermelho;2;50.00;Pago;1082;Leste;Online;0;Campanha B;Material;38.00;190.40
2025-01-04;Martelo;Preto;2;83.00;Não pago;1080;Centro-Oeste;Loja Física;0;Campanha B;Ferramenta;166.00;217.39
2025-01-04;Cola;Azul;3;5.00;Não pago;1054;Centro-Oeste;Online;15;Campanha A;Material;12.75;229.21
2025-01-04;Parafuso;Verde;5;69.00;Pago;1008;Sul;Online;0;Campanha B;Material;345.00;243.07
2025-01-04;Fita;Verde;9;14.00;Pago;1050;Leste;Online;0;Campanha B;Material;126.00;233.85
2025-01-04;Lanterna;Vermelho;6;91.00;Não pago;1015;Centro-Oeste;Loja Física;10;Nenhuma;Eletrônico;491.40;275.42
2025-01-04;Martelo;Azul;9;49.00;Não pago;1052;Centro-Oeste;Online;15;Nenhuma;Ferramenta;374.85;248.45
2025-01-04;Martelo;Azul;5;64.00;Pago;1058;Leste;Online;5;Campanha A;Ferramenta;304.00;254.17
2025-01-04;Cola;Azul;6;57.00;Pago;1044;Sul;Online;15;Campanha A;Material;290.70;218.94
2025-01-04;Martelo;Amarelo;8;35.00;Não pago;1036;Leste;Loja Física;0;Campanha A;Ferramenta;280.00;249.16
2025-01-04;Martelo;Amarelo;3;85.00;Não pago;1090;Sul;Online;0;Nenhuma;Ferramenta;255.00;231.73
2025-01-04;Parafuso;Vermelho;2;5.00;Pago;1065;Sul;Loja Física;5;Campanha B;Material;9.50;270.19
2025-01-04;Cola;Azul;3;88.00;Não pago;1063;Oeste;Online;5;Campanha A;Material;250.80;219.02
2025-01-04;Parafuso;Azul;9;39.00;Pago;1035;Sul;Online;10;Nenhuma;Material;315.90;232.19
2025-01-04;Lanterna;Verde;6;24.00;Pago;1075;Oeste;Loja Física;0;Campanha A;Eletrônico;144.00;240.01
2025-01-04;Lanterna;Verde;4;40.00;Não pago;1049;Norte;Loja Física;0;Nenhuma;Eletrônico;160.00;215.84
2025-01-04;Parafuso;Vermelho;3;50.00;Não pago;1098;Sul;Loja Física;0;Nenhuma;Material;150.00;214.63
2025-01-04;Lanterna;Azul;2;77.00;Pago;1094;Leste;Online;10;Campanha B;Eletrônico;138.60;198.10
2025-01-04;Cola;Vermelho;4;58.00;Pago;1052;Oeste;Loja Física;15;Nenhuma;Material;197.20;248.45
2025-01-04;Alicate;Verde;9;1.00;Pago;1056;Norte;Loja Física;5;Campanha B;Ferramenta;8.55;203.09
2025-01-04;Parafuso;Verde;4;43.00;Não pago;1018;Norte;Online;10;Campanha A;Material;154.80;244.38
2025-01-04;Fita;Amarelo;5;39.00;Pago;1025;Sul;Online;10;Campanha B;Material;175.50;231.28
2025-01-04;Fita;Vermelho;8;10.00;Pago;1099;Leste;Online;0;Campanha A;Material;80.00;238.75
2025-01-04;Martelo;Vermelho;2;2.00;Pago;1067;Sul;Loja Física;5;Campanha A;Ferramenta;3.80;238.80
2025-01-04;Lanterna;Azul;3;63.00;Não pago;1042;Centro-Oeste;Online;15;Campanha B;Eletrônico;160.65;211.40
2025-01-04;Fita;Azul;6;16.00;Pago;1094;Norte;Online;0;Campanha A;Material;96.00;198.10
2025-01-05;Martelo;Amarelo;7;37.00;Não pago;1057;Centro-Oeste;Loja Física;10;Campanha A;Ferramenta;233.10;237.56
2025-01-05;Alicate;Preto;4;16.00;Não pago;1076;Centro-Oeste;Online;10;Campanha A;Ferramenta;57.60;207.96
2025-01-05;Cola;Preto;1;87.00;Pago;1058;Oeste;Online;5;Campanha A;Material;82.65;254.17
2025-01-05;Cola;Preto;7;90.00;Pago;1045;Centro-Oeste;Loja Física;5;Nenhuma;Material;598.50;230.76
2025-01-05;Cola;Vermelho;9;80.00;Pago;1067;Norte;Loja Física;5;Nenhuma;Material;684.00;238.80
2025-01-05;Fita;Vermelho;1;27.00;Não pago;1039;Norte;Loja Física;0;Campanha B;Material;27.00;198.61
2025-01-05;Alicate;Verde;1;63.00;Pago;1012;Leste;Loja Física;10;Nenhuma;Ferramenta;56.70;233.55
2025-01-05;Fita;Vermelho;1;94.00;Não pago;1008;Sul;Loja Física;5;Nenhuma;Material;89.30;243.07
2025-01-05;Lanterna;Vermelho;7;64.00;Não pago;1065;Leste;Online;15;Nenhuma;Eletrônico;380.80;270.19
2025-01-05;Fita;Vermelho;9;97.00;Não pago;1098;Leste;Loja Física;5;Nenhuma;Material;829.35;214.63
2025-01-05;Alicate;Amarelo;3;50.00;Não pago;1052;Sul;Loja Física;5;Nenhuma;Ferramenta;91.20;248.45
2025-01-05;Alicate;Vermelho;8;9.00;Não pago;1075;Norte;Online;0;Nenhuma;Ferramenta;72.00;240.01
2025-01-05;Lanterna;Azul;9;11.00;Não pago;1080;Oeste;Loja Física;0;Campanha B;Eletrônico;99.00;217.39
2025-01-05;Alicate;Azul;3;70.00;Pago;1003;Centro-Oeste;Loja Física;0;Campanha B;Ferramenta;210.00;228.96
2025-01-05;Alicate;Verde;3;30.00;Pago;1013;Oeste;Online;0;Campanha B;Ferramenta;90.00;219.01
2025-01-05;Cola;Amarelo;1;15.00;Não pago;1084;Centro-Oeste;Online;5;Nenhuma;Material;14.25;205.93
2025-01-05;Lanterna;Azul;2;59.00;Não pago;1007;Sul;Online;10;Nenhuma;Eletrônico;106.20;236.13
2025-01-05;Marreta;Amarelo;7;48.00;Pago;1096;Sul;Online;15;Nenhuma;Ferramenta;285.60;230.83
2025-01-05;Marreta;Amarelo;3;94.00;Pago;1061;Leste;Online;15;Campanha A;Ferramenta;239.70;226.50
2025-01-05;Alicate;Verde;7;82.00;Pago;1044;Sul;Online;10;Nenhuma;Ferramenta;516.60;218.94
2025-01-05;Marreta;Amarelo;5;76.00;Pago;1091;Centro-Oeste;Loja Física;15;Campanha B;Ferramenta;323.00;207.33
2025-01-05;Marreta;Vermelho;8;60.00;Não pago;1066;Oeste;Online;5;Campanha A;Ferramenta;456.00;237.90
2025-01-05;Alicate;Amarelo;5;68.00;Pago;1061;Oeste;Online;10;Campanha A;Ferramenta;306.00;226.50
2025-01-05;Marreta;Verde;3;57.00;Não pago;1077;Oeste;Online;0;Nenhuma;Ferramenta;171.00;243.96
2025-01-05;Fita;Verde;9;64.00;Não pago;1082;Oeste;Online;0;Nenhuma;Material;576.00;190.40
2025-01-05;Martelo;Verde;7;54.00;Pago;1069;Leste;Loja Física;0;Campanha B;Ferramenta;378.00;201.87
2025-01-05;Lanterna;Azul;5;80.00;Pago;1035;Oeste;Online;5;Campanha B;Eletrônico;380.00;232.19
2025-01-05;Martelo;Vermelho;7;87.00;Não pago;1083;Centro-Oeste;Loja Física;0;Nenhuma;Ferramenta;609.00;248.57
2025-01-06;Alicate;Azul;9;75.00;Não pago;1000;Leste;Loja Física;0;Campanha B;Ferramenta;675.00;235.80
2025-01-06;Cola;Preto;5;54.00;Não pago;1059;Leste;Online;0;Campanha B;Material;270.00;217.20
2025-01-06;Lanterna;Vermelho;7;59.00;Não pago;1073;Leste;Loja Física;15;Nenhuma;Eletrônico;351.05;230.82
2025-01-06;Alicate;Amarelo;9;88.00;Pago;1012;Sul;Online;10;Campanha B;Ferramenta;712.80;233.55
2025-01-06;Cola;Verde;1;86.00;Pago;1011;Leste;Loja Física;15;Campanha A;Material;73.10;227.44
2025-01-06;Martelo;Preto;4;39.00;Pago;1074;Centro-Oeste;Loja Física;5;Campanha A;Ferramenta;148.20;216.18
2025-01-06;Alicate;Vermelho;1;15.00;Pago;1099;Oeste;Loja Física;5;Campanha B;Ferramenta;14.25;238.75
2025-01-06;Lanterna;Azul;8;79.00;Pago;1016;Sul;Loja Física;5;Campanha A;Eletrônico;600.40;244.52
2025-01-06;Lanterna;Verde;3;74.00;Não pago;1046;Oeste;Online;15;Campanha B;Eletrônico;188.70;250.01
2025-01-06;Parafuso;Azul;2;28.00;Não pago;1052;Norte;Loja Física;10;Campanha A;Material;50.40;248.45
2025-01-06;Fita;Vermelho;4;36.00;Pago;1092;Sul;Online;0;Campanha B;Material;144.00;221.13
2025-01-06;Marreta;Vermelho;3;54.00;Pago;1066;Centro-Oeste;Loja Física;5;Nenhuma;Ferramenta;153.90;237.90
2025-01-06;Cola;Preto;5;17.00;Não pago;1092;Sul;Online;5;Campanha B;Material;80.75;221.13
2025-01-06;Parafuso;Amarelo;8;86.00;Não pago;1009;Leste;Loja Física;15;Nenhuma;Material;584.80;246.80
2025-01-06;Marreta;Azul;8;87.00;Pago;1045;Sul;Online;0;Campanha B;Ferramenta;696.00;230.76
2025-01-06;Marreta;Preto;7;93.00;Pago;1082;Leste;Loja Física;0;Campanha B;Ferramenta;651.00;190.40
2025-01-06;Alicate;Verde;8;22.00;Não pago;1003;Oeste;Online;15;Nenhuma;Ferramenta;149.60;228.96
2025-01-06;Marreta;Amarelo;5;75.00;Pago;1056;Sul;Online;15;Campanha A;Ferramenta;318.75;203.09
2025-01-06;Fita;Preto;6;50.00;Pago;1037;Sul;Loja Física;15;Nenhuma;Material;183.60;222.72
2025-01-06;Lanterna;Azul;8;29.00;Não pago;1011;Centro-Oeste;Loja Física;10;Campanha A;Eletrônico;208.80;227.44
2025-01-06;Parafuso;Vermelho;1;55.00;Não pago;1030;Norte;Loja Física;5;Campanha B;Material;52.25;209.09
2025-01-06;Marreta;Verde;6;50.00;Não pago;1001;Sul;Loja Física;5;Campanha A;Ferramenta;239.40;230.52
2025-01-06;Alicate;Azul;6;32.00;Pago;1000;Oeste;Loja Física;5;Campanha B;Ferramenta;182.40;235.80
2025-01-06;Fita;Amarelo;5;14.00;Não pago;1080;Leste;Online;10;Nenhuma;Material;63.00;217.39
2025-01-06;Martelo;Amarelo;4;18.00;Pago;1024;Oeste;Online;15;Campanha A;Ferramenta;61.20;223.20
2025-01-06;Lanterna;Vermelho;1;38.00;Não pago;1004;Centro-Oeste;Loja Física;5;Campanha B;Eletrônico;36.10;242.55
2025-01-06;Lanterna;Vermelho;8;34.00;Pago;1047;Sul;Loja Física;5;Campanha A;Eletrônico;258.40;228.32
2025-01-07;Parafuso;Verde;6;45.00;Pago;1013;Norte;Loja Física;5;Nenhuma;Material;256.50;219.01
2025-01-07;Lanterna;Verde;3;87.00;Não pago;1051;Norte;Loja Física;10;Campanha B;Eletrônico;234.90;213.57
2025-01-07;Marreta;Vermelho;3;32.00;Pago;1073;Sul;Loja Física;15;Nenhuma;Ferramenta;81.60;230.82
2025-01-07;Alicate;Vermelho;6;67.00;Pago;1020;Norte;Online;5;Campanha B;Ferramenta;381.90;229.44
2025-01-07;Lanterna;Amarelo;7;63.00;Não pago;1024;Oeste;Online;5;Campanha A;Eletrônico;418.95;223.20
2025-01-07;Lanterna;Vermelho;8;55.00;Pago;1098;Leste;Online;10;Campanha A;Eletrônico;396.00;214.63
2025-01-07;Martelo;Preto;5;43.00;Não pago;1066;Sul;Loja Física;15;Campanha A;Ferramenta;182.75;237.90
2025-01-07;Martelo;Azul;6;22.00;Pago;1081;Leste;Loja Física;15;Campanha A;Ferramenta;112.20;234.18
2025-01-07;Cola;Vermelho;1;87.00;Não pago;1049;Norte;Loja Física;5;Nenhuma;Material;82.65;215.84
2025-01-07;Fita;Verde;6;68.00;Não pago;1099;Centro-Oeste;Online;0;Campanha B;Material;408.00;238.75
2025-01-07;Marreta;Preto;9;77.00;Pago;1032;Leste;Loja Física;10;Campanha A;Ferramenta;623.70;240.44
2025-01-07;Lanterna;Verde;4;96.00;Não pago;1016;Centro-Oeste;Loja Física;0;Campanha A;Eletrônico;384.00;244.52
2025-01-07;Lanterna;Preto;1;29.00;Não pago;1069;Oeste;Loja Física;0;Campanha A;Eletrônico;29.00;201.87
2025-01-07;Alicate;Vermelho;9;40.00;Pago;1033;Centro-Oeste;Online;5;Campanha A;Ferramenta;342.00;218.25
2025-01-07;Cola;Azul;4;45.00;Não pago;1025;Leste;Online;5;Campanha B;Material;171.00;231.28
2025-01-07;Fita;Verde;2;10.00;Não pago;1041;Leste;Online;5;Campanha A;Material;19.00;252.82
2025-01-07;Cola;Preto;1;77.00;Não pago;1030;Sul;Online;10;Campanha B;Material;69.30;209.09
2025-01-07;Parafuso;Amarelo;3;45.00;Não pago;1050;Centro-Oeste;Online;10;Nenhuma;Material;121.50;233.85
2025-01-07;Fita;Vermelho;7;17.00;Pago;1091;Oeste;Online;10;Campanha A;Material;107.10;207.33
2025-01-07;Lanterna;Azul;2;2.00;Não pago;1035;Sul;Loja Física;0;Campanha A;Eletrônico;4.00;232.19
2025-01-07;Lanterna;Vermelho;9;17.00;Não pago;1012;Sul;Loja Física;10;Nenhuma;Eletrônico;137.70;233.55
2025-01-07;Fita;Amarelo;2;90.00;Não pago;1084;Indefinida;Loja Física;15;Nenhuma;Material;153.00;205.93
2025-01-07;Lanterna;Azul;5;38.00;Pago;1089;Sul;Online;10;Campanha A;Eletrônico;171.00;232.72
2025-01-07;Marreta;Amarelo;8;37.00;Pago;1094;Oeste;Online;5;Campanha A;Ferramenta;281.20;198.10
2025-01-07;Fita;Vermelho;8;63.00;Não pago;1079;Norte;Online;0;Nenhuma;Material;504.00;243.07
2025-01-07;Cola;Preto;3;5.00;Não pago;1094;Sul;Online;10;Campanha B;Material;13.50;198.10
2025-01-07;Fita;Vermelho;2;25.00;Pago;1012;Leste;Loja Física;5;Campanha B;Material;47.50;233.55
2025-01-07;Lanterna;Vermelho;9;73.00;Não pago;1093;Norte;Loja Física;5;Nenhuma;Eletrônico;624.15;254.28
2025-01-08;Marreta;Vermelho;3;92.00;Não pago;1031;Sul;Online;15;Campanha A;Ferramenta;234.60;210.38
2025-01-08;Marreta;Verde;8;22.00;Não pago;1004;Oeste;Online;15;Campanha A;Ferramenta;149.60;242.55
2025-01-08;Parafuso;Amarelo;2;93.00;Não pago;1011;Norte;Online;10;Campanha A;Material;167.40;227.44
2025-01-08;Cola;Amarelo;3;63.00;Pago;1058;Norte;Loja Física;0;Nenhuma;Material;189.00;254.17
2025-01-08;Martelo;Amarelo;1;35.00;Pago;1040;Leste;Online;0;Nenhuma;Ferramenta;35.00;223.79
2025-01-08;Martelo;Verde;6;55.00;Pago;1036;Sul;Loja Física;10;Campanha B;Ferramenta;297.00;249.16
2025-01-08;Fita;Preto;7;20.00;Pago;1067;Sul;Loja Física;10;Nenhuma;Material;126.00;238.80
2025-01-08;Parafuso;Vermelho;4;5.00;Pago;1047;Oeste;Online;10;Campanha A;Material;18.00;228.32
2025-01-08;Alicate;Preto;1;39.00;Não pago;1042;Norte;Online;0;Nenhuma;Ferramenta;39.00;211.40
2025-01-08;Fita;Verde;3;63.00;Pago;1092;Leste;Online;15;Nenhuma;Material;160.65;221.13
2025-01-08;Parafuso;Amarelo;9;32.00;Não pago;1040;Oeste;Loja Física;0;Campanha A;Material;288.00;223.79
2025-01-08;Cola;Vermelho;5;63.00;Pago;1055;Oeste;Loja Física;5;Campanha A;Material;299.25;210.24
2025-01-08;Cola;Azul;6;74.00;Não pago;1068;Leste;Loja Física;15;Nenhuma;Material;377.40;231.92
2025-01-08;Cola;Azul;4;40.00;Pago;1010;Sul;Loja Física;5;Nenhuma;Material;152.00;218.96
2025-01-08;Cola;Preto;1;17.00;Pago;1093;Leste;Loja Física;0;Campanha A;Material;17.00;254.28
2025-01-08;Cola;Amarelo;5;79.00;Não pago;1008;Sul;Loja Física;5;Campanha A;Material;375.25;243.07
2025-01-08;Parafuso;Azul;5;73.00;Não pago;1027;Centro-Oeste;Online;0;Nenhuma;Material;365.00;256.87
2025-01-08;Parafuso;Preto;5;32.00;Não pago;1021;Norte;Online;15;Nenhuma;Material;136.00;226.62
2025-01-08;Marreta;Verde;6;23.00;Pago;1074;Leste;Online;15;Campanha B;Ferramenta;117.30;216.18
2025-01-08;Martelo;Preto;2;75.00;Pago;1084;Oeste;Loja Física;15;Campanha A;Ferramenta;127.50;205.93
2025-01-08;Lanterna;Preto;1;60.00;Não pago;1005;Sul;Online;5;Nenhuma;Eletrônico;57.00;223.89
2025-01-08;Cola;Preto;2;77.00;Pago;1025;Norte;Online;10;Campanha A;Material;138.60;231.28
2025-01-08;Alicate;Vermelho;6;82.00;Não pago;1015;Norte;Online;15;Campanha A;Ferramenta;418.20;275.42
2025-01-08;Lanterna;Preto;5;56.00;Pago;1013;Leste;Loja Física;0;Campanha A;Eletrônico;280.00;219.01
2025-01-08;Parafuso;Preto;5;9.00;Não pago;1034;Oeste;Online;5;Campanha A;Material;42.75;233.87
2025-01-08;Alicate;Vermelho;6;69.00;Não pago;1041;Leste;Online;15;Nenhuma;Ferramenta;351.90;252.82
2025-01-08;Alicate;Vermelho;7;62.00;Pago;1052;Oeste;Loja Física;10;Campanha B;Ferramenta;390.60;248.45
2025-01-09;Alicate;Verde;9;64.00;Não pago;1099;Centro-Oeste;Online;15;Campanha B;Ferramenta;489.60;238.75
2025-01-09;Marreta;Amarelo;7;22.00;Pago;1021;Leste;Online;5;Nenhuma;Ferramenta;146.30;226.62
2025-01-09;Parafuso;Azul;2;32.00;Pago;1052;Sul;Loja Física;5;Campanha B;Material;60.80;248.45
2025-01-09;Alicate;Azul;6;47.00;Pago;1065;Leste;Online;10;Campanha A;Ferramenta;253.80;270.19
2025-01-09;Cola;Preto;9;2.00;Não pago;1012;Leste;Loja Física;10;Nenhuma;Material;16.20;233.55
